Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PSFE","PAYSAFE LTD","Financials","Equity","169,964.85","0.00","169,964.85","7,887.00","21.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UDMY","UDEMY INC","Consumer Discretionary","Equity","170,334.31","0.00","170,334.31","22,681.00","7.51","United States","NASDAQ","USD","1.00","USD","-"
"XMTR","XOMETRY INC CLASS A","Industrials","Equity","169,808.70","0.00","169,808.70","9,610.00","17.67","United States","NASDAQ","USD","1.00","USD","-"
"MTUS","METALLUS INC","Materials","Equity","168,829.20","0.00","168,829.20","10,195.00","16.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSII","HEIDRICK AND STRUGGLES INTERNATION","Industrials","Equity","166,836.75","0.00","166,836.75","4,525.00","36.87","United States","NASDAQ","USD","1.00","USD","-"
"HZO","MARINEMAX INC","Consumer Discretionary","Equity","166,710.60","0.00","166,710.60","5,502.00","30.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VVI","VIAD CORP","Industrials","Equity","166,423.48","0.00","166,423.48","5,116.00","32.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HY","HYSTER YALE INC CLASS A","Industrials","Equity","165,168.34","0.00","165,168.34","2,726.00","60.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IMXI","INTERNATIONAL MONEY EXPRESS INC","Financials","Equity","165,732.63","0.00","165,732.63","9,709.00","17.07","United States","NASDAQ","USD","1.00","USD","-"
"MOFG","MIDWESTONE FINANCIAL GROUP INC","Financials","Equity","165,318.48","0.00","165,318.48","6,164.00","26.82","United States","NASDAQ","USD","1.00","USD","-"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Industrials","Equity","165,342.03","0.00","165,342.03","2,269.00","72.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DEC","DIVERSIFIED ENERGY COMPANY PLC","Energy","Equity","163,448.13","0.00","163,448.13","12,641.00","12.93","United Kingdom","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCT","PURECYCLE TECHNOLOGIES INC","Materials","Equity","164,320.08","0.00","164,320.08","28,137.00","5.84","United States","NASDAQ","USD","1.00","USD","-"
"ARHS","ARHAUS INC CLASS A","Consumer Discretionary","Equity","162,340.18","0.00","162,340.18","13,781.00","11.78","United States","NASDAQ","USD","1.00","USD","-"
"HAIN","HAIN CELESTIAL GROUP INC","Consumer Staples","Equity","163,103.36","0.00","163,103.36","23,776.00","6.86","United States","NASDAQ","USD","1.00","USD","-"
"HTBK","HERITAGE COMMERCE CORP","Financials","Equity","162,127.22","0.00","162,127.22","16,766.00","9.67","United States","NASDAQ","USD","1.00","USD","-"
"NRIM","NORTHRIM BANCORP INC","Financials","Equity","162,943.47","0.00","162,943.47","2,529.00","64.43","United States","NASDAQ","USD","1.00","USD","-"
"UHAL","U HAUL HOLDING","Industrials","Equity","162,192.29","0.00","162,192.29","2,353.00","68.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VVX","V2X INC","Industrials","Equity","162,015.75","0.00","162,015.75","3,393.00","47.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTS","VITESSE ENERGY INC","Energy","Equity","163,255.38","0.00","163,255.38","6,463.00","25.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GNK","GENCO SHIPPING AND TRADING LTD","Industrials","Equity","161,603.20","0.00","161,603.20","9,182.00","17.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPK","OPKO HEALTH INC","Health Care","Equity","161,521.82","0.00","161,521.82","102,229.00","1.58","United States","NASDAQ","USD","1.00","USD","-"
"RDVT","RED VIOLET INC","Information Technology","Equity","161,791.20","0.00","161,791.20","5,862.00","27.60","United States","NASDAQ","USD","1.00","USD","-"
"AKBA","AKEBIA THERAPEUTICS INC","Health Care","Equity","159,338.88","0.00","159,338.88","110,652.00","1.44","United States","NASDAQ","USD","1.00","USD","-"
"AMTB","AMERANT BANCORP INC CLASS A","Financials","Equity","159,171.84","0.00","159,171.84","7,872.00","20.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHPT","CHARGEPOINT HOLDINGS INC CLASS A","Industrials","Equity","159,345.80","0.00","159,345.80","89,020.00","1.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOLS","EVOLUS INC","Health Care","Equity","159,636.80","0.00","159,636.80","11,738.00","13.60","United States","NASDAQ","USD","1.00","USD","-"
"GDEN","GOLDEN ENTERTAINMENT INC","Consumer Discretionary","Equity","159,429.27","0.00","159,429.27","5,309.00","30.03","United States","NASDAQ","USD","1.00","USD","-"
"PCRX","PACIRA BIOSCIENCES INC","Health Care","Equity","160,119.90","0.00","160,119.90","11,994.00","13.35","United States","NASDAQ","USD","1.00","USD","-"
"PUBM","PUBMATIC INC CLASS A","Communication","Equity","159,496.60","0.00","159,496.60","11,516.00","13.85","United States","NASDAQ","USD","1.00","USD","-"
"SWI","SOLARWINDS CORP","Information Technology","Equity","160,303.75","0.00","160,303.75","12,475.00","12.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSHA","TAYSHA GENE THERAPIES INC","Health Care","Equity","159,940.47","0.00","159,940.47","69,843.00","2.29","United States","NASDAQ","USD","1.00","USD","-"
"ZIMV","ZIMVIE INC","Health Care","Equity","159,323.32","0.00","159,323.32","9,146.00","17.42","United States","NASDAQ","USD","1.00","USD","-"
"HAFC","HANMI FINANCIAL CORP","Financials","Equity","158,078.64","0.00","158,078.64","8,508.00","18.58","United States","NASDAQ","USD","1.00","USD","-"
"LMNR","LIMONEIRA","Consumer Staples","Equity","158,578.48","0.00","158,578.48","7,537.00","21.04","United States","NASDAQ","USD","1.00","USD","-"
"NCMI","NATIONAL CINEMEDIA INC","Communication","Equity","158,329.60","0.00","158,329.60","24,739.00","6.40","United States","NASDAQ","USD","1.00","USD","-"
"NGNE","NEUROGENE INC","Health Care","Equity","158,544.62","0.00","158,544.62","4,451.00","35.62","United States","NASDAQ","USD","1.00","USD","-"
"NYMT","NEW YORK MORTGAGE TRUST REIT INC","Financials","Equity","157,753.44","0.00","157,753.44","24,804.00","6.36","United States","NASDAQ","USD","1.00","USD","-"
"EGBN","EAGLE BANCORP INC","Financials","Equity","156,241.47","0.00","156,241.47","7,887.00","19.81","United States","NASDAQ","USD","1.00","USD","-"
"HBNC","HORIZON BANCORP INC","Financials","Equity","157,067.24","0.00","157,067.24","10,714.00","14.66","United States","NASDAQ","USD","1.00","USD","-"
"REAX","REAL BROKERAGE INC","Real Estate","Equity","156,269.80","0.00","156,269.80","25,618.00","6.10","Canada","NASDAQ","USD","1.00","USD","-"
"SMP","STANDARD MOTOR PRODUCTS INC","Consumer Discretionary","Equity","156,508.43","0.00","156,508.43","5,167.00","30.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANIK","ANIKA THERAPEUTICS INC","Health Care","Equity","155,691.84","0.00","155,691.84","6,096.00","25.54","United States","NASDAQ","USD","1.00","USD","-"
"GDOT","GREEN DOT CORP CLASS A","Financials","Equity","155,741.84","0.00","155,741.84","14,236.00","10.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIOT","POWERFLEET INC","Information Technology","Equity","155,954.48","0.00","155,954.48","32,222.00","4.84","United States","NASDAQ","USD","1.00","USD","-"
"SLQT","SELECTQUOTE INC","Financials","Equity","155,547.07","0.00","155,547.07","45,349.00","3.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBGI","SINCLAIR INC CLASS A","Communication","Equity","155,620.97","0.00","155,620.97","12,073.00","12.89","United States","NASDAQ","USD","1.00","USD","-"
"SRDX","SURMODICS INC","Health Care","Equity","154,868.28","0.00","154,868.28","3,899.00","39.72","United States","NASDAQ","USD","1.00","USD","-"
"DRQ","DRIL QUIP INC","Energy","Equity","154,040.25","0.00","154,040.25","10,101.00","15.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FMNB","FARMERS NATIONAL BANC CORP","Financials","Equity","154,350.68","0.00","154,350.68","10,978.00","14.06","United States","NASDAQ","USD","1.00","USD","-"
